pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_eqt,ra,dec,st_teff,st_rad,st_mass,sy_dist,disc_year,discoverymethod
K00902.01,K00902.01,83.92494032,4.78,,226.0,287.85239,43.897991,3960.0,0.509,,,,
Kepler-719 b,K00903.01,5.007316661,6.96,,998.0,295.53613,43.884449,5865.0,0.827,,,,
Kepler-55 d,K00904.01,2.211116989,1.85,,931.0,285.16833,44.026459,4500.0,0.646,,,,
Kepler-55 b,K00904.02,27.9541337,1.9,,400.0,285.16833,44.026459,4500.0,0.646,,,,
Kepler-110 b,K00124.01,12.69104387,2.57,,1008.0,292.92914,48.60281,5869.0,1.626,,,,
K00895.01,K00895.01,4.409409243,10.95,,1101.0,296.41019,43.455391,5600.0,0.975,,,,
Kepler-248 c,K00896.01,16.23947096,4.14,,598.0,293.0614,43.58136,5191.0,0.837,,,,
Kepler-248 b,K00896.02,6.308201629,2.96,,819.0,293.0614,43.58136,5191.0,0.837,,,,
Kepler-718 b,K00897.01,2.052349884,13.12,,1497.0,299.56189,43.503559,5855.0,1.08,,,,
Kepler-83 b,K00898.01,9.7704486,2.23,,460.0,282.23251,43.66563,3906.0,0.509,,,,
Kepler-83 d,K00898.02,5.169804269,1.66,,569.0,282.23251,43.66563,3906.0,0.509,,,,
Kepler-109 c,K00123.02,21.22261195,2.48,,771.0,290.39273,40.28487,5945.0,1.302,,,,
Kepler-83 c,K00898.03,20.09017037,2.25,,362.0,282.23251,43.66563,3906.0,0.509,,,,
Kepler-249 c,K00899.01,7.11373257,1.16,,429.0,296.98505,43.65852,3561.0,0.411,,,,
Kepler-249 b,K00899.02,3.306551643,0.91,,554.0,296.98505,43.65852,3561.0,0.411,,,,
Kepler-249 d,K00899.03,15.36845737,1.11,,332.0,296.98505,43.65852,3561.0,0.411,,,,
Kepler-1730 b,K00900.01,13.81020318,4.56,,833.0,281.96063,43.70311,5942.0,1.142,,,,
Kepler-722 b,K00911.01,4.093578461,2.85,,1182.0,290.26328,44.55645,6077.0,0.999,,,,
Kepler-722 c,K00911.02,105.145959,3.43,,401.0,290.26328,44.55645,6077.0,0.999,,,,
Kepler-252 c,K00912.01,10.8484518,2.34,,499.0,295.57935,44.545959,4201.0,0.591,,,,
Kepler-252 b,K00912.02,6.66833241,1.18,,587.0,295.57935,44.545959,4201.0,0.591,,,,
Kepler-723 b,K00913.01,4.082274889,10.55,,1016.0,284.83047,44.658138,5655.0,0.794,,,,
K00914.01,K00914.01,3.886655224,1.87,,1010.0,288.72665,44.60751,5662.0,0.738,,,,
Kepler-55 c,K00904.03,42.1406089,1.85,,349.0,285.16833,44.026459,4500.0,0.646,,,,
Kepler-55 e,K00904.04,4.617490562,1.62,,728.0,285.16833,44.026459,4500.0,0.646,,,,
Kepler-55 f,K00904.05,10.19849255,1.75,,559.0,285.16833,44.026459,4500.0,0.646,,,,
