pl_orbper,pl_rade,pl_eqt,st_teff,st_rad,st_logg,pl_insol
5.929405,,,,,,
14.3392144,2.2963233,841.9410276,6295.7,1.1374201,4.438,118.7538488
2.8716983,18.1267,2281.0,6840.0,1.91,4.05,4494.25
6.0964074,2.5856853,737.3642914,4820.4,0.731699,4.6,69.8633506
,4.258255,177.5215972,4820.4,0.731699,4.6,0.2347069
5.6666168,14.8589,1277.0,6530.0,1.47,4.23,442.536
1.56029,18.4825,3900.0,6897.0,2.29,3.89,38412.5
8.8735214,6.0401,1591.0,5992.0,1.18,4.34,1064.98
7.8513774,,,,,,
7.6869063,23.7824,1409.0,5147.3,3.07,,655.022
2.534612,,1193.0,5009.6,,,336.934
1.3797091,22.2329,3626.0,5924.0,2.67,3.68,28702.5
1.49861,,4828.0,8590.0,,4.12,90202.8
6.2407826,16.0959,708.0,4174.0,0.9,4.34197,41.7384
2.6796,11.8862,1492.0,5938.0,1.32,4.23,823.434
6.1406417,26.5174686,1714.087545,8298.0,1.87493,4.19,2040.1072476
11.0765063,12.8076,1033.0,6460.0,1.86,4.0,189.348
0.6193401,8.84136,,7812.5,1.79,,55990.1
2.6400663,18.2671,2611.0,5155.0,2.72,,7719.64
2.5778717,18.687,4400.0,8321.0,3.16,3.75,62241.5
3.80509,8.57193,1644.0,6555.5,2.35,3.83,1214.11
2.99041,24.2511,4252.0,8542.0,3.56,3.66,54264.3
4.9865029,,,,,,
0.890967,2.89678,2099.0,5159.2,0.87,4.5,3225.32
2.1096805,3.6396725,1284.923458,5673.0,0.940806,4.55383,644.2138136
3.9729429,,,,,,
1.19888,20.5525,2172.0,7315.0,5.46,,3694.96
3.37644,,1589.0,8639.7,,3.96,1059.26
2.03905,6.42307,3550.0,9003.0,2.68,3.94,26394.8
2.9424142,9.70968,3452.0,6854.0,1.79,4.1,23595.1
1.0793011,3.31116,2612.0,4349.3,0.67,4.62,7736.05
8.0428575,,2522.0,8286.0,,,6718.53
